SKU,ProductName,RetailPrice,Category,OnSpecialPricing,EffectiveDate,Status,UpdatedOn,Size
004356,BALVENIE DOUBLEWOOD 12 YR SCOTCH   750ml,74.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
004626,BUCHANANS DELUXE 12YR SCOTCH       750ml,42.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
004825,THE DALMORE 12 YR SNGLE MALT       750ml,79.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
004846,DALWHINNIE MALT SCOTCH             750ml,74.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
004866,DEWARS WHITE LABEL SCOTCH          750ml,25.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005006,GLENFIDDICH SPEC RESERVE 12YR SNG  750ml,54.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005014,GLENFIDDICH RESERVA 15YR SOLERA,83.99,General,No,2025-07-01,1,2025-08-22 21:57:49,
005106,GRANT'S FAMILY RESERVE SCOTCH      750ml,19.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005153,GLENLIVET FOUNDERS RESERVE         750ml,49.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005159,GLENFIDDICH 14YR BOURBON BARREL RESERVE,64.99,General,No,2025-07-01,1,2025-08-22 21:57:49,
005247,HIGHLAND PARK 12YR VIKING HONOUR   750ml,59.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005318,JOHNNIE WALKER DOUBLE BLACK        750ml,49.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005326,JOHNNIE WALKER BLK 12YR            750ml,42.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005346,JOHNNIE WALKER RED                 750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005635,MONKEY SHOULDER WHISKEY            750ml,35.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
005844,MONKEY SHOULDER WHISKEY          1750 ml,64.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
005924,GLENLIVET CARIBBEAN RESERVE SINGLE 750ml,49.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
006105,SPEYBURN 10YR SINGLE MALT SCOTCH   750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
006424,MACLEANS NOSE BLENDED SCOTCH WHISKY700ml,27.83,General,Yes,2025-07-01,1,2025-08-22 21:57:49,700
006998,CLAN MAC GREGOR SCOTCH            1750ml,19.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
008828,LAUDERS SCOTCH                    1750ml,22.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
010626,CANADIAN CLUB WHISKY               750ml,12.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
010791,CROWN ROYAL VANILLA                750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
010802,CROWN ROYAL PEACH                  750ml,29.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
